iter	Passed	Remaining
0	145	145469
1	147	73640
2	149	49539
3	150	37565
4	152	30346
5	153	25487
6	155	22045
7	157	19529
8	159	17531
9	160	15908
10	162	14577
11	163	13488
12	165	12548
13	166	11747
14	168	11057
15	169	10453
16	171	9918
17	173	9460
18	175	9049
19	176	8672
20	178	8320
21	180	8013
22	182	7732
23	183	7465
24	185	7223
25	186	7000
26	188	6796
27	190	6600
28	191	6421
29	193	6268
30	195	6104
31	196	5948
32	198	5805
33	199	5674
34	201	5545
35	202	5426
36	204	5316
37	205	5211
38	207	5112
39	209	5022
40	211	4936
41	212	4850
42	214	4765
43	215	4688
44	217	4613
45	219	4545
46	220	4472
47	221	4402
48	223	4342
49	225	4279
50	226	4216
51	228	4160
52	229	4105
53	231	4053
54	232	3999
55	234	3952
56	236	3906
57	237	3858
58	238	3810
59	240	3766
60	242	3731
61	244	3691
62	245	3655
63	247	3618
64	249	3583
65	250	3545
66	251	3508
67	253	3476
68	255	3442
69	256	3409
70	257	3375
71	259	3345
72	261	3318
73	262	3287
74	263	3255
75	265	3226
76	267	3203
77	268	3178
78	270	3150
79	271	3124
80	273	3100
81	274	3077
82	275	3047
83	277	3021
84	278	3000
85	280	2978
86	281	2956
87	283	2933
88	284	2915
89	286	2896
90	287	2875
91	289	2855
92	291	2838
93	293	2825
94	294	2806
95	296	2789
96	298	2774
97	299	2757
98	300	2738
99	302	2724
100	304	2713
101	306	2697
102	307	2680
103	309	2664
104	310	2649
105	312	2634
106	313	2619
107	315	2603
108	317	2591
109	318	2578
110	319	2562
111	321	2548
112	323	2536
113	324	2523
114	326	2509
115	327	2496
116	329	2483
117	330	2472
118	332	2458
119	333	2446
120	335	2433
121	336	2419
122	337	2407
123	339	2395
124	340	2383
125	342	2375
126	343	2362
127	345	2351
128	346	2340
129	348	2331
130	349	2320
131	351	2308
132	352	2298
133	354	2289
134	355	2280
135	357	2270
136	358	2259
137	360	2250
138	361	2240
139	363	2231
140	364	2220
141	365	2209
142	367	2200
143	368	2191
144	370	2181
145	371	2172
146	373	2165
147	374	2158
148	376	2149
149	377	2141
150	379	2134
151	381	2126
152	382	2118
153	384	2110
154	385	2102
155	387	2094
156	388	2087
157	390	2079
158	391	2073
159	393	2066
160	394	2056
161	396	2050
162	397	2043
163	399	2036
164	401	2029
165	402	2022
166	404	2015
167	405	2007
168	406	2000
169	408	1992
170	409	1985
171	410	1978
172	412	1972
173	413	1964
174	415	1958
175	417	1952
176	418	1946
177	419	1939
178	421	1932
179	423	1927
180	424	1921
181	426	1915
182	427	1908
183	429	1903
184	430	1898
185	432	1891
186	433	1884
187	434	1878
188	436	1874
189	438	1870
190	440	1865
191	441	1859
192	443	1855
193	445	1849
194	446	1843
195	447	1837
196	449	1832
197	451	1827
198	452	1821
199	454	1816
200	455	1812
201	457	1806
202	458	1801
203	460	1796
204	461	1791
205	463	1786
206	465	1782
207	467	1778
208	468	1773
209	470	1768
210	471	1763
211	473	1759
212	474	1754
213	476	1749
214	477	1743
215	478	1738
216	480	1732
217	481	1726
218	482	1721
219	484	1716
220	486	1713
221	487	1708
222	489	1704
223	490	1698
224	491	1694
225	493	1690
226	495	1686
227	496	1681
228	498	1677
229	499	1673
230	501	1668
231	502	1663
232	504	1659
233	505	1655
234	507	1651
235	508	1646
236	510	1642
237	511	1638
238	513	1634
239	514	1629
240	515	1624
241	518	1622
242	519	1619
243	521	1615
244	522	1611
245	524	1607
246	526	1603
247	527	1599
248	528	1595
249	530	1592
250	532	1588
251	533	1583
252	534	1579
253	536	1576
254	538	1573
255	539	1568
256	541	1564
257	543	1561
258	544	1557
259	545	1553
260	547	1549
261	549	1546
262	550	1543
263	551	1538
264	553	1535
265	554	1531
266	556	1528
267	558	1524
268	559	1520
269	561	1517
270	563	1514
271	564	1510
272	565	1507
273	568	1505
274	569	1501
275	571	1498
276	572	1494
277	574	1491
278	575	1488
279	577	1484
280	578	1480
281	580	1477
282	581	1473
283	582	1469
284	584	1466
285	586	1463
286	587	1460
287	589	1457
288	591	1454
289	592	1450
290	594	1447
291	595	1444
292	597	1441
293	598	1438
294	600	1434
295	601	1431
296	603	1427
297	604	1424
298	606	1421
299	608	1419
300	609	1416
301	612	1414
302	613	1412
303	615	1408
304	616	1404
305	617	1401
306	619	1398
307	620	1394
308	621	1390
309	623	1387
310	624	1384
311	626	1380
312	627	1376
313	628	1373
314	629	1369
315	631	1366
316	633	1363
317	634	1360
318	635	1356
319	637	1354
320	638	1351
321	640	1348
322	641	1345
323	643	1342
324	644	1339
325	646	1336
326	647	1332
327	649	1329
328	650	1326
329	652	1323
330	653	1320
331	654	1317
332	656	1314
333	657	1311
334	658	1307
335	660	1304
336	661	1301
337	663	1298
338	664	1295
339	666	1293
340	667	1290
341	669	1287
342	670	1284
343	671	1281
344	673	1279
345	675	1277
346	677	1274
347	679	1272
348	680	1269
349	682	1266
350	683	1263
351	684	1260
352	686	1257
353	687	1254
354	689	1252
355	690	1249
356	692	1246
357	693	1244
358	695	1241
359	696	1238
360	698	1235
361	699	1233
362	701	1230
363	702	1227
364	704	1224
365	705	1222
366	707	1219
367	708	1217
368	710	1214
369	712	1212
370	713	1210
371	715	1207
372	717	1205
373	718	1202
374	720	1200
375	721	1197
376	722	1194
377	724	1192
378	725	1189
379	727	1186
380	728	1184
381	730	1182
382	732	1179
383	733	1177
384	735	1174
385	737	1172
386	738	1169
387	740	1167
388	741	1165
389	743	1162
390	744	1159
391	746	1157
392	747	1154
